Gouvernorats;invhebergement;invanimation;total
Bizerte;180000;72276;252276
Jendouba;230000;0;230000
Le Kef;284280;0;284280
Tunis;105901400;11062366;116972766
Zaghouan;567000;15000;582000
Nabeul;20918838;713546;21632384
Sousse;3991824;2084410;6076234
Monastir;15000000;640695;15640695
Kairouan;1800000;0;1800000
Mahdia;1421658;50000;1471658
Sfax;118856;6146000;6264856
Gabès;904842;66720;971562
Tozeur;13545000;135000;211000
Gafsa;76000;855621;14400621
Kebili;76000;299000;299000
Médenine;6502578;913205;7415783
Tataouine;1746000;0;1746000
Ariana;0;0;0
Ben Arous (Tunis Sud);0;0;0
Kassérine;0;0;0
Manubah;0;0;0
Sidi Bou Zid;0;0;0
Siliana;0;0;0
Béja;0;0;0
